# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B5060	taxonomy
ASV_3333	0.0	13.0	10.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	2.0	6.0	0.0	0.0	7.0	7.0	0.0	0.0	10.0	11.0	0.0	4.0	13.0	7.0	0.0	15.0	37.0	11.0	24.0	19.0	0.0	0.0	3.0	7.0	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Sediminispirochaeta; s__uncultured_spirochete
ASV_6513	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	21.0	0.0	0.0	9.0	0.0	3.0	0.0	5.0	0.0	0.0	14.0	0.0	0.0	18.0	0.0	0.0	0.0	15.0	14.0	4.0	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae
ASV_4806	12.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	23.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__uncultured
ASV_2791	5.0	4.0	4.0	4.0	7.0	12.0	6.0	6.0	3.0	6.0	6.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	12.0	50.0	0.0	5.0	6.0	0.0	37.0	10.0	4.0	13.0	7.0	4.0	2.0	6.0	3.0	4.0	3.0	16.0	10.0	8.0	3.0	3.0	0.0	0.0	0.0	0.0	6.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium
ASV_5383	5.0	6.0	19.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	4.0	0.0	19.0	12.0	7.0	0.0	17.0	8.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Urania-1B-19_marine_sediment_group
ASV_2451	0.0	6.0	7.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	2.0	5.0	20.0	19.0	11.0	0.0	28.0	0.0	2.0	0.0	13.0	5.0	0.0	20.0	32.0	10.0	44.0	4.0	0.0	0.0	16.0	42.0	0.0	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_planctomycete
ASV_2694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	67.0	2.0	0.0	129.0	76.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_bacterium
ASV_1692	5.0	15.0	37.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	343.0	35.0	9.0	0.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota; s__metagenome
ASV_6004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	2.0	4.0	5.0	0.0	5.0	2.0	0.0	0.0	25.0	0.0	15.0	22.0	0.0	0.0	7.0	16.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Sulfurifustis
ASV_6837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	17.0	5.0	0.0	19.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	37.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__SB-5; g__SB-5; s__uncultured_Bacteroidetes
ASV_3325	0.0	0.0	0.0	0.0	0.0	12.0	3.0	3.0	30.0	7.0	12.0	12.0	0.0	3.0	12.0	8.0	0.0	0.0	0.0	0.0	25.0	13.0	35.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	0.0	13.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__uncultured_bacterium
ASV_5861	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	12.0	45.0	12.0	12.0	8.0	0.0	0.0	0.0	10.0	d__Bacteria; p__Zixibacteria; c__Zixibacteria; o__Zixibacteria; f__Zixibacteria; g__Zixibacteria; s__uncultured_bacterium
ASV_1639	0.0	0.0	18.0	27.0	0.0	20.0	0.0	0.0	11.0	9.0	7.0	22.0	5.0	32.0	9.0	0.0	24.0	3.0	7.0	0.0	34.0	15.0	65.0	0.0	18.0	45.0	24.0	0.0	0.0	5.0	26.0	0.0	9.0	12.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__Dehalococcoidia; f__Dehalococcoidia; g__Dehalococcoidia; s__uncultured_bacterium
ASV_483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	65.0	13.0	144.0	214.0	79.0	150.0	228.0	50.0	6.0	55.0	165.0	90.0	d__Bacteria; p__Sva0485; c__Sva0485; o__Sva0485; f__Sva0485; g__Sva0485; s__uncultured_delta
ASV_96	0.0	0.0	0.0	0.0	0.0	142.0	358.0	550.0	159.0	82.0	294.0	316.0	0.0	119.0	149.0	64.0	0.0	0.0	0.0	0.0	445.0	217.0	610.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	6.0	40.0	114.0	0.0	18.0	43.0	0.0	4.0	55.0	2.0	130.0	275.0	291.0	0.0	45.0	365.0	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales; s__uncultured_Aminicenantes
ASV_6563	0.0	3.0	0.0	0.0	0.0	7.0	4.0	21.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	6.0	0.0	40.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Zixibacteria; c__Zixibacteria; o__Zixibacteria; f__Zixibacteria; g__Zixibacteria; s__uncultured_bacterium
ASV_5671	0.0	0.0	0.0	0.0	0.0	0.0	20.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	27.0	10.0	0.0	0.0	10.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__AKAU3564_sediment_group; g__AKAU3564_sediment_group; s__uncultured_bacterium
ASV_2715	0.0	0.0	0.0	0.0	0.0	15.0	13.0	54.0	9.0	6.0	30.0	18.0	0.0	5.0	45.0	11.0	0.0	5.0	13.0	0.0	4.0	5.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	d__Bacteria; p__Chloroflexi; c__SHA-26; o__SHA-26; f__SHA-26; g__SHA-26; s__uncultured_Chloroflexi
ASV_7695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	6.0	43.0	11.0	0.0	0.0	18.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
ASV_5932	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	6.0	0.0	0.0	2.0	2.0	3.0	0.0	18.0	37.0	24.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__Incertae_Sedis
ASV_294	0.0	0.0	0.0	0.0	0.0	58.0	109.0	250.0	116.0	106.0	120.0	145.0	0.0	15.0	117.0	17.0	0.0	60.0	44.0	0.0	138.0	125.0	414.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	125.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales
ASV_2678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.0	0.0	0.0	10.0	4.0	0.0	0.0	74.0	53.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__PLTA13; g__PLTA13
ASV_5111	0.0	0.0	0.0	3.0	0.0	16.0	0.0	5.0	6.0	0.0	4.0	20.0	0.0	4.0	0.0	2.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	8.0	15.0	0.0	0.0	0.0	6.0	0.0	2.0	3.0	0.0	0.0	4.0	5.0	0.0	0.0	10.0	0.0	4.0	17.0	11.0	0.0	0.0	0.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__GIF3; f__GIF3; g__GIF3; s__uncultured_bacterium
ASV_829	0.0	0.0	0.0	0.0	0.0	11.0	8.0	51.0	3.0	6.0	17.0	4.0	0.0	2.0	34.0	3.0	0.0	19.0	8.0	12.0	10.0	50.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	51.0	0.0	0.0	2.0	0.0	8.0	48.0	158.0	0.0	3.0	137.0	d__Bacteria; p__Armatimonadota; c__DG-56; o__DG-56; f__DG-56; g__DG-56; s__uncultured_bacterium
ASV_6503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Acidobacteriota; c__Subgroup_18; o__Subgroup_18; f__Subgroup_18; g__Subgroup_18
ASV_1880	0.0	11.0	4.0	13.0	11.0	17.0	0.0	5.0	7.0	0.0	15.0	25.0	20.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	9.0	6.0	15.0	16.0	3.0	0.0	0.0	0.0	2.0	0.0	6.0	6.0	0.0	16.0	21.0	0.0	5.0	29.0	21.0	29.0	34.0	33.0	10.0	8.0	13.0	7.0	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_bacterium
ASV_3297	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	4.0	3.0	19.0	40.0	5.0	53.0	22.0	0.0	8.0	41.0	17.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__GIF3; f__GIF3; g__GIF3; s__uncultured_bacterium
ASV_6982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	8.0	0.0	18.0	24.0	17.0	0.0	10.0	6.0	0.0	5.0	2.0	9.0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Subgroup_15; f__Subgroup_15; g__Subgroup_15; s__uncultured_bacterium
ASV_6290	0.0	0.0	0.0	0.0	0.0	6.0	5.0	13.0	11.0	4.0	19.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	14.0	24.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales; s__uncultured_Aminicenantes
ASV_2106	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	16.0	20.0	11.0	2.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Rheinheimera; s__uncultured_bacterium
ASV_4789	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	3.0	7.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	17.0	3.0	0.0	10.0	43.0	0.0	21.0	16.0	5.0	0.0	6.0	9.0	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured
ASV_6758	7.0	6.0	0.0	3.0	0.0	5.0	0.0	0.0	6.0	6.0	3.0	22.0	2.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	2.0	5.0	15.0	0.0	0.0	2.0	7.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Sva0485; c__Sva0485; o__Sva0485; f__Sva0485; g__Sva0485
ASV_1696	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	24.0	5.0	0.0	0.0	0.0	0.0	0.0	26.0	180.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Chitinibacteraceae; g__Chitinibacter; s__Chitinibacter_tainanensis
ASV_5000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	10.0	3.0	0.0	4.0	69.0	0.0	19.0	29.0	0.0	0.0	0.0	5.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Candidatus_Methylospira; s__uncultured_bacterium
ASV_733	0.0	72.0	41.0	43.0	10.0	4.0	0.0	0.0	0.0	7.0	0.0	25.0	165.0	11.0	13.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	42.0	13.0	33.0	8.0	0.0	8.0	9.0	0.0	15.0	8.0	11.0	8.0	17.0	36.0	11.0	0.0	15.0	103.0	0.0	91.0	39.0	10.0	0.0	13.0	29.0	d__Bacteria; p__Desulfobacterota; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_delta
ASV_7465	0.0	0.0	0.0	4.0	0.0	11.0	0.0	2.0	0.0	0.0	2.0	0.0	23.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	5.0	6.0	10.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	d__Bacteria; p__LCP-89; c__LCP-89; o__LCP-89; f__LCP-89; g__LCP-89; s__uncultured_bacterium
ASV_4435	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	5.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	8.0	0.0	0.0	14.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	7.0	20.0	6.0	0.0	28.0	8.0	0.0	23.0	2.0	0.0	0.0	9.0	7.0	d__Bacteria; p__Armatimonadota; c__DG-56; o__DG-56; f__DG-56; g__DG-56; s__uncultured_Actinomycetales
ASV_5806	0.0	2.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	7.0	9.0	0.0	5.0	0.0	3.0	0.0	17.0	5.0	0.0	10.0	4.0	0.0	24.0	0.0	2.0	0.0	18.0	5.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__mle1-7; s__metagenome
ASV_5328	0.0	2.0	0.0	5.0	5.0	8.0	0.0	0.0	0.0	0.0	0.0	14.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	11.0	0.0	23.0	29.0	5.0	0.0	7.0	6.0	d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__SEEP-SRB1; s__uncultured_Desulfobacteraceae
ASV_5966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	13.0	0.0	21.0	72.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__vadinBA26; f__vadinBA26; g__vadinBA26; s__uncultured_bacterium
