# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060	taxonomy
ASV_514	0.0	0.0	0.0	19.0	0.0	112.0	26.0	45.0	74.0	27.0	71.0	76.0	0.0	188.0	93.0	37.0	22.0	193.0	114.0	57.0	90.0	42.0	103.0	176.0	0.0	5.0	60.0	44.0	0.0	0.0	7.0	184.0	0.0	9.0	66.0	599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales
ASV_3763	232.0	8.0	17.0	0.0	26.0	3.0	0.0	0.0	2.0	13.0	10.0	0.0	3.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	10.0	10.0	11.0	0.0	5.0	0.0	32.0	0.0	0.0	0.0	17.0	2.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__Dongia
ASV_3884	0.0	0.0	0.0	0.0	0.0	64.0	29.0	22.0	27.0	14.0	31.0	11.0	0.0	8.0	10.0	14.0	0.0	0.0	0.0	0.0	33.0	23.0	19.0	41.0	0.0	0.0	27.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__661239; f__661239; g__661239; s__uncultured_bacterium
ASV_3944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	71.0	22.0	0.0	38.0	12.0	0.0	137.0	66.0	0.0	0.0	10.0	39.0	14.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales; f__uncultured; g__uncultured; s__uncultured_Alphaproteobacteria
ASV_5451	0.0	0.0	7.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	35.0	30.0	13.0	0.0	56.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	0.0	3.0	0.0	13.0	37.0	0.0	7.0	28.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales
ASV_760	0.0	0.0	13.0	22.0	21.0	33.0	5.0	16.0	29.0	10.0	30.0	55.0	2.0	57.0	19.0	13.0	6.0	0.0	0.0	0.0	54.0	44.0	24.0	19.0	0.0	25.0	86.0	49.0	0.0	0.0	10.0	0.0	0.0	6.0	32.0	0.0	0.0	171.0	78.0	0.0	41.0	37.0	0.0	164.0	199.0	23.0	0.0	86.0	294.0	83.0	d__Bacteria; p__Zixibacteria; c__Zixibacteria; o__Zixibacteria; f__Zixibacteria; g__Zixibacteria; s__candidate_division
ASV_4327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	171.0	7.0	6.0	64.0	88.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium
ASV_3196	0.0	0.0	0.0	0.0	0.0	0.0	53.0	52.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	100.0	64.0	7.0	21.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Armatimonadota
ASV_4081	0.0	0.0	0.0	0.0	0.0	28.0	27.0	50.0	17.0	13.0	22.0	24.0	0.0	8.0	22.0	14.0	0.0	14.0	16.0	6.0	21.0	13.0	21.0	38.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	9.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	5.0	d__Bacteria; p__Zixibacteria; c__Zixibacteria; o__Zixibacteria; f__Zixibacteria; g__Zixibacteria; s__uncultured_Caldithrix
ASV_1253	0.0	0.0	0.0	0.0	0.0	52.0	40.0	65.0	96.0	12.0	92.0	66.0	0.0	13.0	79.0	54.0	2.0	46.0	70.0	0.0	158.0	132.0	59.0	161.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	9.0	0.0	4.0	16.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__LCP-89; c__LCP-89; o__LCP-89; f__LCP-89; g__LCP-89; s__saltmarsh_clone
ASV_1535	356.0	39.0	44.0	19.0	32.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	6.0	11.0	18.0	208.0	12.0	9.0	0.0	45.0	20.0	27.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	53.0	8.0	2.0	3.0	d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium
ASV_1964	0.0	0.0	0.0	0.0	0.0	16.0	47.0	106.0	77.0	8.0	22.0	20.0	0.0	36.0	86.0	24.0	0.0	56.0	43.0	6.0	60.0	55.0	7.0	134.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales
ASV_2508	0.0	0.0	0.0	0.0	0.0	26.0	0.0	9.0	14.0	11.0	0.0	39.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	10.0	0.0	2.0	10.0	2.0	18.0	46.0	18.0	9.0	88.0	51.0	4.0	65.0	89.0	15.0	0.0	53.0	26.0	23.0	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia
ASV_2995	17.0	73.0	41.0	30.0	20.0	8.0	0.0	0.0	12.0	0.0	0.0	9.0	30.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	34.0	21.0	38.0	0.0	5.0	94.0	8.0	4.0	38.0	28.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__uncultured_Chlorobi
ASV_615	0.0	3.0	0.0	12.0	0.0	73.0	14.0	65.0	67.0	15.0	44.0	9.0	0.0	46.0	56.0	603.0	0.0	56.0	27.0	0.0	15.0	82.0	58.0	308.0	0.0	0.0	8.0	35.0	0.0	0.0	11.0	147.0	0.0	15.0	156.0	253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__uncultured_bacterium
ASV_7083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	12.0	0.0	30.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__GIF3; f__GIF3; g__GIF3
ASV_4916	0.0	0.0	0.0	0.0	2.0	30.0	0.0	3.0	18.0	9.0	13.0	8.0	0.0	8.0	6.0	9.0	0.0	0.0	0.0	0.0	12.0	16.0	8.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	14.0	73.0	39.0	0.0	3.0	8.0	23.0	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_bacterium
ASV_5358	0.0	0.0	0.0	0.0	0.0	4.0	70.0	28.0	22.0	2.0	0.0	13.0	0.0	0.0	10.0	26.0	0.0	16.0	23.0	7.0	11.0	11.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	0.0	6.0	d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__JG30-KF-CM66; f__JG30-KF-CM66; g__JG30-KF-CM66; s__uncultured_bacterium
ASV_3178	109.0	22.0	3.0	9.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	6.0	0.0	0.0	15.0	0.0	3.0	0.0	0.0	0.0	0.0	13.0	10.0	0.0	2.0	12.0	6.0	0.0	8.0	0.0	24.0	15.0	20.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	19.0	4.0	28.0	39.0	5.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__TRA3-20; g__TRA3-20
ASV_3655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	172.0	21.0	0.0	45.0	2.0	0.0	0.0	67.0	38.0	16.0	7.0	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17
ASV_5901	0.0	0.0	19.0	20.0	5.0	22.0	0.0	3.0	18.0	9.0	18.0	17.0	4.0	11.0	3.0	0.0	2.0	0.0	0.0	0.0	12.0	4.0	11.0	0.0	0.0	6.0	12.0	13.0	0.0	0.0	14.0	0.0	0.0	6.0	21.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	12.0	d__Bacteria; p__Myxococcota; c__Polyangia; o__PS-B29; f__PS-B29; g__PS-B29; s__uncultured_delta
ASV_2061	8.0	90.0	8.0	23.0	15.0	0.0	0.0	4.0	10.0	26.0	6.0	22.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	34.0	26.0	9.0	4.0	15.0	52.0	0.0	12.0	19.0	14.0	4.0	4.0	23.0	7.0	2.0	56.0	28.0	0.0	68.0	22.0	0.0	6.0	40.0	69.0	22.0	d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota; s__uncultured_bacterium
ASV_6295	5.0	2.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	4.0	0.0	0.0	30.0	23.0	7.0	3.0	4.0	34.0	11.0	42.0	24.0	2.0	6.0	11.0	19.0	6.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Bauldia
ASV_1731	0.0	15.0	15.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	2.0	0.0	3.0	12.0	0.0	2.0	0.0	41.0	0.0	16.0	5.0	116.0	7.0	0.0	285.0	22.0	7.0	166.0	0.0	0.0	2.0	51.0	47.0	10.0	12.0	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae
ASV_1889	0.0	0.0	0.0	4.0	0.0	5.0	8.0	10.0	0.0	3.0	0.0	8.0	0.0	183.0	30.0	46.0	23.0	0.0	10.0	0.0	5.0	14.0	7.0	102.0	0.0	0.0	128.0	57.0	0.0	0.0	0.0	7.0	0.0	8.0	69.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__TA06; c__TA06; o__TA06; f__TA06; g__TA06; s__uncultured_bacterium
ASV_169	3.0	115.0	108.0	125.0	4.0	533.0	69.0	182.0	501.0	185.0	287.0	303.0	30.0	313.0	99.0	97.0	42.0	12.0	22.0	0.0	378.0	216.0	223.0	261.0	8.0	75.0	184.0	281.0	0.0	6.0	76.0	78.0	0.0	57.0	434.0	164.0	0.0	77.0	88.0	0.0	3.0	126.0	0.0	52.0	186.0	91.0	0.0	14.0	16.0	46.0	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_methanogenic
ASV_2573	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	145.0	128.0	2.0	66.0	45.0	27.0	12.0	84.0	6.0	2.0	14.0	58.0	27.0	7.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__uncultured_bacterium
ASV_914	2.0	134.0	88.0	98.0	0.0	83.0	0.0	18.0	16.0	14.0	6.0	35.0	100.0	120.0	31.0	24.0	116.0	5.0	35.0	0.0	3.0	3.0	6.0	3.0	0.0	0.0	30.0	26.0	0.0	0.0	37.0	46.0	0.0	16.0	93.0	0.0	41.0	79.0	34.0	0.0	38.0	181.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	9.0	d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfatiglandales; f__Desulfatiglandaceae; g__Desulfatiglans
ASV_2916	16.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	7.0	9.0	0.0	0.0	0.0	7.0	4.0	3.0	0.0	192.0	3.0	0.0	204.0	10.0	0.0	21.0	0.0	0.0	3.0	21.0	12.0	18.0	0.0	d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales; f__WX65; g__WX65; s__uncultured_bacterium
ASV_5776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	8.0	0.0	0.0	0.0	0.0	4.0	13.0	9.0	0.0	36.0	37.0	30.0	8.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	11.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	d__Bacteria; p__Sva0485; c__Sva0485; o__Sva0485; f__Sva0485; g__Sva0485; s__uncultured_delta
ASV_1765	139.0	45.0	8.0	6.0	47.0	3.0	0.0	8.0	25.0	50.0	37.0	5.0	13.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	79.0	4.0	7.0	5.0	154.0	16.0	0.0	0.0	28.0	26.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	34.0	24.0	7.0	0.0	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__AKYG587; s__uncultured_bacterium
ASV_2283	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	27.0	18.0	5.0	0.0	6.0	13.0	0.0	0.0	5.0	0.0	0.0	26.0	144.0	29.0	2.0	67.0	65.0	5.0	107.0	63.0	0.0	0.0	31.0	60.0	24.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__uncultured_bacterium
ASV_3348	0.0	2.0	3.0	3.0	0.0	7.0	5.0	3.0	32.0	17.0	16.0	7.0	5.0	22.0	11.0	7.0	4.0	0.0	0.0	0.0	10.0	10.0	6.0	7.0	5.0	18.0	27.0	26.0	0.0	0.0	23.0	17.0	0.0	22.0	40.0	0.0	0.0	3.0	57.0	0.0	0.0	9.0	0.0	15.0	5.0	6.0	0.0	3.0	23.0	17.0	d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
ASV_2266	61.0	43.0	18.0	6.0	45.0	0.0	0.0	0.0	3.0	13.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	17.0	12.0	7.0	0.0	9.0	4.0	0.0	7.0	13.0	20.0	11.0	142.0	46.0	0.0	10.0	37.0	78.0	17.0	20.0	0.0	0.0	2.0	17.0	0.0	5.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__uncultured; s__uncultured_bacterium
ASV_7158	0.0	0.0	0.0	0.0	0.0	12.0	49.0	52.0	0.0	7.0	11.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	24.0	10.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_Thermoprotei
ASV_4021	0.0	0.0	0.0	0.0	0.0	0.0	11.0	16.0	8.0	6.0	24.0	4.0	0.0	8.0	23.0	16.0	0.0	49.0	95.0	9.0	20.0	25.0	30.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Sva0485; c__Sva0485; o__Sva0485; f__Sva0485; g__Sva0485
ASV_216	69.0	363.0	121.0	144.0	25.0	69.0	0.0	9.0	23.0	91.0	26.0	133.0	494.0	317.0	58.0	68.0	120.0	13.0	24.0	0.0	22.0	0.0	16.0	13.0	120.0	102.0	133.0	116.0	38.0	38.0	327.0	172.0	134.0	220.0	345.0	37.0	52.0	68.0	83.0	0.0	15.0	19.0	0.0	73.0	199.0	56.0	0.0	57.0	233.0	118.0	d__Bacteria; p__Sva0485; c__Sva0485; o__Sva0485; f__Sva0485; g__Sva0485; s__uncultured_prokaryote
ASV_3147	0.0	0.0	0.0	2.0	0.0	4.0	2.0	15.0	39.0	17.0	21.0	16.0	0.0	4.0	0.0	32.0	0.0	0.0	0.0	0.0	57.0	13.0	6.0	180.0	0.0	0.0	13.0	40.0	0.0	0.0	0.0	0.0	0.0	8.0	44.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	2.0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__GIF3; f__GIF3; g__GIF3
ASV_6141	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	13.0	11.0	9.0	0.0	17.0	9.0	11.0	11.0	0.0	0.0	0.0	0.0	14.0	0.0	9.0	0.0	0.0	12.0	43.0	16.0	0.0	0.0	8.0	15.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	12.0	7.0	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__uncultured
