#OTU ID	description	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	156363.186609431	196217.7764114	137009.20476826	151680.705092567	154896.707238979	209575.783414614	152021.02954583	183624.320482591	171561.537383512	155996.357839411	209030.612524019	142584.278354747	133590.265938231	170717.601726595	191217.568720933	125929.130800099	108312.360474955	139280.277752601	116741.603498727	94949.1367941917	197869.369478005	165560.684605096	121355.615200113	542471.051872128	188241.12519538	121059.106858254	181781.779869745	185235.015488472	153234.425820806	131126.96961951	187220.213573347	92063.2155310107	155009.780690728	142259.999867229	270169.853754215	214844.320175484	174601.14497591	164315.252423615	148919.506995772	190283.875991715	163611.14675053	145158.132136126	168014.604889727	163407.921298204	205541.556905009	63314.9408641046	118940.029062916	169634.615312139	192240.23400682	142513.913346912
ARO-PWY	chorismate biosynthesis I	178793.793808578	213747.685646361	151557.541295188	159872.338110379	176820.910722049	215070.373514898	156801.748611713	183573.686046752	173450.731921782	167614.431405591	217827.952359018	145603.951075979	144091.877167218	173681.219762553	197587.132194375	128814.167066425	118918.364685229	143457.213626964	118259.857023147	99883.3244644002	201544.815760321	172315.066518534	125880.002927625	568446.652216885	212690.757390859	130230.465443167	189736.324162999	191923.508993131	175755.977051051	148381.659640843	207584.940142373	96488.7532000257	174359.477502566	157712.99115643	292527.310298118	223032.318005654	191183.810634465	174828.183763628	159573.003638861	212854.107904087	177941.433904408	157328.955968799	188166.580698416	173837.872058669	214436.067429183	63403.6775368947	131631.164756359	184263.173900649	206103.026583931	151374.257340383
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	46747.5830788556	53677.4603194806	43784.9399519932	48009.8072903336	80326.1753755408	51253.538905126	46245.431349857	34375.1518562654	31554.6819889411	55850.0722091565	60330.7773844934	28836.7553839546	42534.8693071404	41940.4814401176	85102.7984640573	37194.9582456818	55536.7331835267	53161.2443004812	34072.673012155	39470.8060714777	48568.8186881025	52993.0558828439	36365.1708860285	247044.278062037	57950.9033306326	30913.6836188737	48413.1857068341	42797.0007217687	79204.1988706951	60153.547063949	75315.000952779	35643.7048524981	64569.3634492965	52774.6425447481	93389.5595410442	70752.8713482154	59405.6215264433	42740.2977440951	58057.5172999611	89782.3004343606	58917.2915512297	49377.1639658761	57643.1916033778	35949.2796917695	52733.0250616317	14050.5498881968	41757.2090406277	51938.3571769812	67293.5240658879	53705.1100931356
AST-PWY	L-arginine degradation II (AST pathway)	13604.583614459	14763.745374645	11214.7695409945	15113.3614849022	30036.8634269208	17615.0476587645	15387.6558674097	9385.08982389921	8191.59015483347	18767.6339529097	19904.0306148705	7626.37892224144	12150.2118311217	15231.8801409827	51873.4098567214	11907.5270783872	19987.0095642599	19501.5076971278	9894.56075093473	15187.2676385714	14877.2395469035	15769.8786355937	14579.964316441	137278.843313475	13454.7613360832	9136.85007965675	14680.9169892057	12290.1514677746	30363.8620658755	20916.2894684554	24071.5873011188	9822.79732447404	19585.1050044432	15838.0507406817	36132.8564376606	29788.9853110358	16568.8700174554	11813.9089475153	19899.9130034693	28975.8083234708	17894.0218940513	14585.6305767116	18320.014033165	10177.789143177	14538.142875777	4248.10943105343	12464.1578235235	15977.1462716665	24175.3021456575	18808.7746912816
BENZCOA-PWY	anaerobic aromatic compound degradation (Thauera aromatica)	84.2176548201317	70.0664993838089	77.8375830672472	22.831974461033	117.218792534026	0	0	0	0	46.8923347855703	14.8387440285477	9.34269799432287	35.2357492817428	0	0	0	0	0	0	0	0	4.6210237409564	7.66306064537199	7.66878787972569	65.4927422213511	6.79583507184388	14.6001724677218	40.3581743668332	6.71012429036253	21.968176531461	10.297788650375	0	80.322842256826	75.8390860949972	133.564267407592	11.8242732127254	239.259042973591	67.8277217399676	0	9.81886771326085	59.3790631959162	101.378132779656	128.004275998926	15.4424669998166	0	0	0	45.2458354672187	0	0
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	103391.941539649	109097.117203992	84936.1576671884	76336.5715369016	105473.74612733	66347.4255343774	51233.1641712442	42459.4538712806	37962.9683985294	77270.9502805348	76879.2520145237	40133.544656558	69153.431932673	55636.9439991541	110872.748588756	41181.3110352292	58290.7760793521	56119.8762932288	35866.9304267171	38822.4719901733	55455.3631170815	56020.703297607	43959.3404475295	290905.91737932	110581.975431555	60130.0307393016	67107.2147683387	65564.5004915121	109529.286050129	88051.2030337706	117330.7891326	39283.9031341771	99218.9885887093	86102.7706545984	151268.895740811	96750.7525813664	98134.6317611217	74008.677700308	75736.2276894449	116989.92244382	82483.2075020608	73673.6330927828	101911.120083483	69598.1986228503	81836.8849602603	19648.916949105	66088.2553302509	87265.324502835	96483.4169415556	69046.7968645993
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	220960.568668783	275560.356650529	192217.287348024	202335.077381514	198167.37015119	280755.110150784	197493.960687671	247055.193065031	233849.537504162	206205.657782052	277918.184045953	192577.495045449	182403.910978404	229904.121371169	248228.427995308	165096.451143654	134143.710159717	176357.28273137	152980.857233708	126322.556825888	261576.934617893	217432.936711979	162192.02378779	704392.448843109	269717.905500047	167948.01636702	243549.490097375	250720.65885655	194976.009861622	168450.785932022	248337.752499303	121239.883273755	206874.097285939	194855.382151781	376861.69130857	290753.931188281	240866.34417668	230262.621878728	194162.069788528	252827.396062593	220489.558571798	195506.082627767	242524.392522674	228039.433333425	278884.78284186	83714.5870581518	165039.069554304	236043.466273653	253904.384613178	184062.711505203
CALVIN-PWY	Calvin-Benson-Bassham cycle	185389.646611003	222929.683389997	158804.239967444	170433.689700839	187555.687022651	232851.759575407	175006.934272865	204400.009899768	190924.325032374	179702.650633037	237405.683180304	157340.9486613	151799.081435565	189570.812568572	224128.471197641	142855.250679575	128416.502270076	160856.968632792	132175.398152657	110793.605944394	222709.583382959	193161.356160059	138159.537845484	639329.914360515	218987.706826623	137007.385864675	201260.770848469	204001.038327377	187282.35322514	156881.097296036	217654.006044936	103475.134662438	182475.938456582	164229.915570004	307694.836179498	245253.645287011	199775.67196506	184395.151222938	173065.670657382	224900.270964795	188062.116326778	167858.691334536	194560.553022401	182248.009012229	231507.399383726	70904.7364985817	136980.490642764	191237.817462616	220054.186531425	164427.878724459
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	5364.69890265237	8682.36375334516	4693.33403844393	2547.01716981243	5912.89089144994	4466.71787563171	2164.53620527755	1648.38187947952	1357.68129286029	2750.34628675191	2497.48164755311	1663.22794667207	4905.95749952298	2558.86227184318	6195.47854086702	1598.53526947132	2752.60508685915	4625.13188008956	1706.5218047344	1861.24904495793	2228.09389218835	2234.69800494673	1586.26090363754	29184.2107282127	5881.43642654733	4400.02115426424	2314.39723848368	2957.26491198341	5747.75987379722	3459.85323307957	7317.55088930592	3333.40890808864	4790.88088424101	4429.06701732751	10894.0641503777	13703.7317781761	4413.99903672282	3679.00995917909	4055.81000619959	5304.61814653142	3983.04551384155	3234.19934266032	12676.8915380719	4019.63092306458	2347.7156959068	618.669436283566	6530.43090820286	9067.99942809254	5987.4399923185	3454.18945660686
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	1257.5	6175	2928	4452.75	2362	2393	793.5	2117.25	1328.5	1142.5	1122.25	2318.5	7424.5	2394	1709	1134	2672	1733	2595	297	1242	885.75	887.25	2778.25	6532.25	3293.75	3970.75	3741.5	469.5	1059.25	3160.5	606.5	3780.5	2884	4670.5	1168.25	2460.5	2601.25	1642.5	2161	1837.75	2278.75	2974.5	2646.5	2818	721.5	1652.5	2805	2533.25	1664
CENTFERM-PWY	pyruvate fermentation to butanoate	8620.66776623732	21596.5388147594	22093.1450165558	16548.4660714308	16855.7898424287	26607.2101284497	27820.5585155212	24895.9650416834	21727.0544276014	17168.6568908945	26076.6006190448	15545.0667806729	15688.1842868667	21220.2402277489	26590.5977407498	18663.2148980709	20952.508220823	34590.8014259584	24619.3487979607	14703.1611298256	29790.3669006908	28967.6536433955	19170.8877119942	87943.490190689	13942.9933463225	11705.4467181143	18636.3637492433	17442.6671611929	14754.0242203467	12271.6832443665	16201.8026993809	20540.9426868833	15955.6620309894	12143.2706904006	28323.8832319718	38256.980276725	12070.6994044729	12296.7124661269	19718.1957626847	17377.4615525906	13556.167492734	13057.9696454934	14240.3775886976	12096.0439327566	25560.8614808115	11326.6982307798	8879.03022137595	13037.4221561274	19640.6929693981	19623.3236157951
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	495.56650612392	361.437680507894	114.396068489171	178.951234948024	730.301249137493	276.121896040874	290.628091610492	184.674635139261	213.070203936706	461.268848628706	548.4879109007	173.944646807252	267.685065394226	177.21810179136	235.319075273727	235.683030932775	360.449529220593	304.877571041731	191.616271569679	210.803474029861	288.651613469569	224.843826760102	168.408164136423	770.362687473334	371.282935310221	161.893484424032	228.528081713341	306.001976603548	972.530752334749	431.684474781519	477.27169346605	145.108905759862	500.173338369829	265.336220240878	504.514155725793	293.585228608621	297.416441450808	275.402191082816	377.161072388786	662.0437351973	505.055957191109	260.923679479693	345.77360050558	187.879821382441	250.382478039523	106.6664022284	309.912411444515	212.563432352076	451.775514134279	436.188727322535
COA-PWY	coenzyme A biosynthesis I	168193.851604418	202914.163922504	143712.780010988	151284.801487498	160199.270039714	210869.147908994	154598.507607815	187628.982330618	175965.741060254	159048.701252883	211316.103106111	144340.99891833	136662.791255702	171543.377126008	187433.537581012	126891.883341769	108419.914190411	139102.015567971	117172.004416728	94679.8110757173	200965.114585066	171250.225738127	124152.111425373	548028.102846929	202114.917685102	124320.101489051	182680.904444264	186050.001824157	158850.02992339	134924.82163202	191030.78635065	91409.8520425442	161390.939733542	147044.098166132	278024.23665909	223619.283650102	178936.346195565	166800.085393242	150457.098786375	194088.293976978	166506.406044831	148623.149650491	175597.504577354	166455.318545505	208852.212668896	64443.3711215081	122777.184397759	174286.290055111	193057.927396121	143533.427388506
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	69641.3590146339	106249.959309698	73679.3873092241	82860.357435829	78361.0968427629	125271.491532939	86104.1765220281	114166.698070986	100305.171643445	86109.1768255143	123824.203425427	81923.2680298612	73941.6184474272	103134.611936955	101910.893543586	72329.8461856828	57404.3546914895	79355.0337070931	74657.7079578789	62425.0943531002	117592.691666131	100929.859120793	75206.0372446914	326427.808687743	102698.880523816	68245.4497812269	105522.554527954	108268.543543832	67851.6364119392	64964.0768631577	98865.3252230934	56529.3062373082	79713.6414432113	80743.7359778157	159974.711133782	133063.112471778	77695.2465234539	80991.7171485552	80668.247873681	89767.053762382	79469.5745434881	70758.2238017105	85476.6150370024	83374.3789089175	110748.376099567	38281.4229410599	54348.9870563588	86267.4326103912	97750.8416173127	74525.4577323661
CODH-PWY	reductive acetyl coenzyme A pathway	34627.7125022698	101019.703962523	61969.1908914643	85920.1873162174	47688.897001443	125696.013040564	79991.2779692015	108853.752118623	97762.679393924	72511.9248190019	114084.455176912	87601.8389920917	78502.699354995	100921.481909526	81660.7890701155	68022.1473464065	48542.0476512751	67065.8322694493	61805.221142548	33775.3137000534	110631.045026148	87288.1772784291	67496.113092375	224003.455470684	80490.2364017047	69763.1265919069	111466.748394223	108764.729925094	20169.4091338578	39120.6815350511	86650.4213106104	55219.816376812	57451.7965732795	68346.7590674796	121595.570338707	104324.02268796	60594.9258405985	73744.2154893757	68780.3336005275	54921.2162699924	72405.3495291094	66263.6564418854	67939.616945196	84635.1725426861	109537.517818898	39090.1018953987	42138.9127680445	75591.1037108014	90684.9016132927	70641.9631215115
COLANSYN-PWY	colanic acid building blocks biosynthesis	117351.653666851	168352.886370594	109903.838515909	119796.792847459	119798.366660503	153466.315015473	105985.688594721	129261.368717206	121756.516561973	116791.805931522	150321.670226819	109092.221080756	115124.203302761	121136.398050997	118335.548631542	90381.1689163389	78050.1891700417	98286.4802221841	78792.4480530416	59876.38752364	141007.672371285	121588.604402157	88283.7569693374	325030.732603924	160473.067307275	101080.516120153	143817.919008349	141001.195314837	114873.04519715	98221.0776533235	149915.878776811	70617.2688638149	123808.84423549	113086.099800268	198504.60413958	147764.310753032	139855.972233381	133956.015010555	118029.21094744	152509.559396442	132517.864302413	114476.948295602	147080.587641009	133331.666410586	163435.693468117	50387.2090676315	98349.4318853282	139731.906473683	156100.096682864	115038.032426781
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	188872.790556345	226718.019038385	160531.951625685	169254.945205361	184112.566689574	227290.359698182	164992.446634175	193975.654102188	183523.972066756	176234.973565505	229563.536646149	154374.052285808	152539.48005228	183899.462354444	208207.228804632	135620.378174433	124177.957615711	150422.144274763	124472.15220516	103209.195935278	212650.415641531	181024.370586221	133074.813997744	598633.023428099	225367.488376077	138133.275892893	200732.405964264	203185.28306543	182648.848463641	155077.668497545	218030.75746286	101533.289407928	183275.318077687	166360.972436762	309271.172816823	234818.582743015	201713.23640244	184922.030983508	167381.530525651	222748.887379843	187354.842418814	165709.741916652	198703.28676465	184124.824673278	226815.245613899	67054.8037919385	138763.896073169	194840.073572105	216722.243483575	158787.885127115
CRNFORCAT-PWY	creatinine degradation I	440.739042272675	257.101358467522	370.900501212529	104.524008790256	492.390314587663	245.432556185438	32.2363553452946	60.0211209420403	133.339282409395	811.486729042245	588.598174104721	41.1313685330305	3814.23205185498	6124.44334280942	9869.8981777569	148.976650491614	162.254971335604	90.4090184295204	97.0463116141114	69.7514959670664	124.403062691025	112.79536523561	1264.93262530856	9078.93837814637	123.515628900989	137.409587886071	271.499961050065	238.529649446017	237.488013132424	112.145823012723	498.337697541352	197.057281485085	218.491191476867	1047.63562160812	8074.87288506785	4048.17948227884	159.26333718347	52.0760832523992	77.1514925062371	76.1216102600667	130.728396147101	74.6970307174775	290.13636469423	72.3834694488608	172.793861815689	107.866409907533	88.4438016087079	86.0770060035214	55.094918406407	49.0928995345604
DAPLYSINESYN-PWY	L-lysine biosynthesis I	144691.423071407	152252.969642237	116474.460559032	112013.043746026	143809.462045249	133428.830708731	112425.650327274	109809.790119352	102751.105996739	123472.716942277	145983.714435	85264.5086057846	102285.719274678	112039.916523456	156517.506959074	85804.4501836128	92868.588049077	111351.002437833	81923.3088448129	79075.6832933405	125664.848522039	115329.202140797	85467.5292654199	445498.660328171	162402.09779792	90551.7207552616	118922.681189821	120876.808081952	147598.402049286	120906.718027106	161697.965133313	70379.1128520954	138819.795049111	120153.248259637	219821.799562579	162090.930403631	144046.123206128	122542.045450289	120958.784094938	171303.516862869	129458.307723817	115426.432384757	143644.316706657	115687.569168644	142741.586948705	38942.1645357595	100213.850211806	132801.858308467	152068.934716042	110595.759525824
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	7204.41437952263	11349.6906482125	10512.1744792577	6452.26978232016	6521.8248508449	1277.69556848924	301.300716845947	636.309586497509	864.602766127726	3673.22658506788	2074.24505817747	1798.67804884064	5692.87136145837	2327.99623523142	2599.76494247874	331.357203737337	1296.9731158969	317.491438241113	589.391155548665	113.535295168412	511.482216075933	416.748423250698	1622.65133090103	3909.29545804026	14174.409556959	5351.15036410022	4499.86732851873	4501.44393573243	6114.16556648883	6110.7912250949	11607.8751604818	1588.87752849626	8118.78135900647	9795.34468808423	15110.9986980043	3699.39514840943	11450.9210547876	6200.44291044359	4000.30201268673	11691.5156727136	5754.87692609577	4818.96841524258	14664.4428547487	6079.02352467815	5249.81843350374	868.236114187639	7529.85290166842	10663.5726113991	4667.43901358606	2750.90532436381
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	131879.857795063	155465.231105316	114956.246044601	125300.598553097	149986.961840766	181542.708011278	143834.6662479	162671.767070665	152255.075946967	141458.773775253	184836.197215537	118033.031330273	113585.140463391	146278.856828241	175601.958437045	114485.477275754	102802.990124254	131954.958553363	105386.167590897	94466.672873062	175032.304421656	154935.629598477	111411.785083105	522587.617322253	156473.400649982	96610.5363217841	147971.612183076	150318.93543028	150104.849721969	123823.22585844	169446.507920798	83339.132045737	142534.778893494	124292.231081365	237570.848242533	202376.442677819	144261.312198797	129970.122108396	136086.378721514	175647.513186107	141017.157461104	127016.827006311	142188.137128352	125934.519434243	168359.291139033	54964.6148349497	103187.984608905	140096.880542397	168761.103684406	128978.918657767
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	5683.23209266266	5547.70948771442	3478.35468901263	4558.69044992479	13751.015623236	6121.85436061717	7269.21003144681	4757.04698177442	4349.98402991111	8279.24516317995	9044.85852664849	3833.00686956829	5473.46281133173	4426.65545112729	6271.13954031379	5624.06684456218	8459.6310851836	7417.36987811241	4598.55455233488	6378.21392172793	7826.45755323981	7339.4091240881	4502.65524023846	21795.7842657761	6200.38040765452	3591.90059926863	6081.82296520589	5086.20329301681	13322.7804370016	8513.75391418386	10200.8025133163	4339.96585214413	9426.96372331069	5742.24825342137	6874.07073230144	5934.98017021689	7086.48765046063	5352.51774284991	9304.73769489442	13796.927584808	8878.33083120369	6858.84637902914	6850.64463754943	4129.3859900642	6824.36350188421	2029.51641667887	5428.87938809243	5423.20952247219	10674.3362859711	8231.8672746588
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	169529.099969065	209825.262016146	142401.248487376	148352.082176996	162413.259796663	185944.026321185	131889.899455029	150076.200264152	146452.855410839	148029.550884058	184801.812778179	130428.581129003	139187.550237085	148611.058555926	182431.127753624	111617.857261639	103133.097369758	122734.943902033	96416.361929135	70406.7617384504	172634.731967851	147605.658258732	110850.983942142	465656.893227696	207011.550499965	125254.811266358	172775.168590945	168914.459320429	161920.891618544	137748.249640914	190257.132836876	86153.0909059511	164500.848631464	143644.015396619	259145.196209337	187045.345911599	188131.177855657	169917.031169364	147739.931133666	201815.628674305	173502.231236941	148532.739126101	186036.751661546	165058.635782601	200910.161477779	57966.6994256589	128479.323763876	179560.446987684	196731.562226899	141783.129144459
